step 0: train loss 10.9987, val loss 10.9994
iter 0: loss 11.0000, time 15030.36ms
iter 10: loss 11.0000, time 163.50ms, ETA: 11d 13h, progress: 0.0%
iter 250: loss 9.3750, time 169.08ms, ETA: 1d 13h, progress: 0.0%
iter 260: loss 9.3125, time 166.74ms, ETA: 1d 13h, progress: 0.0%
iter 270: loss 9.5000, time 171.16ms, ETA: 1d 13h, progress: 0.0%
iter 280: loss 9.3750, time 164.24ms, ETA: 1d 12h, progress: 0.0%
iter 290: loss 9.4375, time 170.01ms, ETA: 1d 12h, progress: 0.0%
iter 300: loss 9.4375, time 169.11ms, ETA: 1d 12h, progress: 0.1%
iter 310: loss 9.7500, time 172.58ms, ETA: 1d 12h, progress: 0.1%
iter 320: loss 9.3125, time 167.30ms, ETA: 1d 11h, progress: 0.1%
iter 330: loss 9.2500, time 170.06ms, ETA: 1d 11h, progress: 0.1%
iter 340: loss 9.2500, time 168.82ms, ETA: 1d 11h, progress: 0.1%
iter 350: loss 9.3750, time 172.08ms, ETA: 1d 11h, progress: 0.1%
iter 360: loss 9.1250, time 167.68ms, ETA: 1d 11h, progress: 0.1%
iter 370: loss 9.1875, time 171.03ms, ETA: 1d 10h, progress: 0.1%
iter 380: loss 9.1875, time 172.42ms, ETA: 1d 10h, progress: 0.1%
iter 390: loss 9.1875, time 173.78ms, ETA: 1d 10h, progress: 0.1%
[2025-08-27 20:09:22,165] [INFO] [logging.py:107:log_dist] [Rank 0] step=10, skipped=0, lr=[0.00011994002998500749], mom=[[0.9, 0.95]]
[2025-08-27 20:09:22,177] [INFO] [timer.py:264:stop] epoch=0/micro_step=400/global_step=10, RunningAvgSamplesPerSec=683.09996379145, CurrSamplesPerSec=668.3926450053705, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 400: loss 9.1250, time 167.34ms, ETA: 1d 10h, progress: 0.1%
iter 410: loss 9.1250, time 170.38ms, ETA: 1d 10h, progress: 0.1%
iter 420: loss 9.1250, time 173.45ms, ETA: 1d 10h, progress: 0.1%
iter 430: loss 9.1875, time 171.93ms, ETA: 1d 9h, progress: 0.1%
iter 440: loss 8.9375, time 167.31ms, ETA: 1d 9h, progress: 0.1%
iter 450: loss 8.8750, time 173.84ms, ETA: 1d 9h, progress: 0.1%
iter 460: loss 8.9375, time 171.82ms, ETA: 1d 9h, progress: 0.1%
iter 470: loss 9.0000, time 172.56ms, ETA: 1d 9h, progress: 0.1%
iter 480: loss 8.8750, time 170.18ms, ETA: 1d 9h, progress: 0.1%
iter 490: loss 8.8125, time 176.67ms, ETA: 1d 9h, progress: 0.1%
iter 500: loss 9.0625, time 175.02ms, ETA: 1d 9h, progress: 0.1%
iter 510: loss 8.8125, time 177.17ms, ETA: 1d 9h, progress: 0.1%
iter 520: loss 8.6250, time 170.17ms, ETA: 1d 9h, progress: 0.1%
iter 530: loss 8.9375, time 178.35ms, ETA: 1d 9h, progress: 0.1%
iter 540: loss 8.6875, time 177.29ms, ETA: 1d 8h, progress: 0.1%
iter 550: loss 8.7500, time 179.81ms, ETA: 1d 8h, progress: 0.1%
iter 560: loss 8.4375, time 171.59ms, ETA: 1d 8h, progress: 0.1%
iter 570: loss 8.5000, time 173.43ms, ETA: 1d 8h, progress: 0.1%
iter 580: loss 8.6250, time 177.95ms, ETA: 1d 8h, progress: 0.1%
iter 590: loss 8.5000, time 177.48ms, ETA: 1d 8h, progress: 0.1%
iter 600: loss 8.5000, time 170.62ms, ETA: 1d 8h, progress: 0.1%
iter 610: loss 8.5625, time 179.10ms, ETA: 1d 8h, progress: 0.1%
iter 620: loss 8.3750, time 177.17ms, ETA: 1d 8h, progress: 0.1%
iter 630: loss 8.3125, time 174.97ms, ETA: 1d 8h, progress: 0.1%
iter 640: loss 8.4375, time 171.09ms, ETA: 1d 8h, progress: 0.1%
iter 650: loss 8.3125, time 176.43ms, ETA: 1d 8h, progress: 0.1%
iter 660: loss 8.3750, time 177.21ms, ETA: 1d 8h, progress: 0.1%
iter 670: loss 8.5625, time 175.62ms, ETA: 1d 8h, progress: 0.1%
iter 680: loss 8.5000, time 177.63ms, ETA: 1d 8h, progress: 0.1%
iter 690: loss 8.1875, time 175.22ms, ETA: 1d 8h, progress: 0.1%
iter 700: loss 8.2500, time 177.98ms, ETA: 1d 8h, progress: 0.1%
iter 710: loss 8.2500, time 175.76ms, ETA: 1d 8h, progress: 0.1%
iter 720: loss 8.2500, time 174.10ms, ETA: 1d 8h, progress: 0.1%
iter 730: loss 7.9375, time 177.39ms, ETA: 1d 8h, progress: 0.1%
iter 740: loss 7.9688, time 177.51ms, ETA: 1d 8h, progress: 0.1%
iter 750: loss 7.8750, time 177.67ms, ETA: 1d 7h, progress: 0.1%
iter 760: loss 7.9688, time 172.46ms, ETA: 1d 7h, progress: 0.1%
iter 770: loss 8.0625, time 178.59ms, ETA: 1d 7h, progress: 0.1%
iter 780: loss 8.0000, time 179.94ms, ETA: 1d 7h, progress: 0.1%
iter 790: loss 7.9062, time 180.29ms, ETA: 1d 7h, progress: 0.1%
[2025-08-27 20:10:32,621] [INFO] [logging.py:107:log_dist] [Rank 0] step=20, skipped=0, lr=[0.00023988005997001497], mom=[[0.9, 0.95]]
[2025-08-27 20:10:32,633] [INFO] [timer.py:264:stop] epoch=0/micro_step=800/global_step=20, RunningAvgSamplesPerSec=665.2226130660865, CurrSamplesPerSec=636.8904064147891, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 800: loss 7.9688, time 171.80ms, ETA: 1d 7h, progress: 0.1%
iter 810: loss 7.7500, time 180.69ms, ETA: 1d 7h, progress: 0.1%
iter 820: loss 7.7188, time 180.40ms, ETA: 1d 7h, progress: 0.1%
iter 830: loss 7.7812, time 178.79ms, ETA: 1d 7h, progress: 0.1%
iter 840: loss 7.6562, time 171.01ms, ETA: 1d 7h, progress: 0.1%
iter 850: loss 7.6562, time 179.93ms, ETA: 1d 7h, progress: 0.1%
iter 860: loss 7.8438, time 180.11ms, ETA: 1d 7h, progress: 0.1%
iter 870: loss 7.8750, time 179.56ms, ETA: 1d 7h, progress: 0.1%
iter 880: loss 7.5938, time 171.62ms, ETA: 1d 7h, progress: 0.1%
iter 890: loss 7.7500, time 179.56ms, ETA: 1d 7h, progress: 0.1%
iter 900: loss 7.5938, time 179.66ms, ETA: 1d 7h, progress: 0.1%
iter 910: loss 7.6562, time 179.86ms, ETA: 1d 7h, progress: 0.2%
iter 920: loss 7.5000, time 172.99ms, ETA: 1d 7h, progress: 0.2%
iter 930: loss 7.4688, time 178.85ms, ETA: 1d 7h, progress: 0.2%
iter 940: loss 7.5938, time 179.41ms, ETA: 1d 7h, progress: 0.2%
iter 950: loss 7.5938, time 180.89ms, ETA: 1d 7h, progress: 0.2%
iter 960: loss 7.4062, time 174.25ms, ETA: 1d 7h, progress: 0.2%
iter 970: loss 7.4688, time 179.96ms, ETA: 1d 7h, progress: 0.2%
iter 980: loss 7.4688, time 179.99ms, ETA: 1d 7h, progress: 0.2%
iter 990: loss 7.4062, time 179.69ms, ETA: 1d 7h, progress: 0.2%
step 1000: train loss 7.3927, val loss 7.4052 | ETA: 1d 10h (2025-08-29 06:16:05) | Progress: 0.2%
saving checkpoint to out
iter 1000: loss 7.4062, time 16752.22ms, ETA: 1d 10h, progress: 0.2%
iter 1010: loss 7.6562, time 173.41ms, ETA: 1d 10h, progress: 0.2%
iter 1020: loss 7.2500, time 174.90ms, ETA: 1d 10h, progress: 0.2%
iter 1030: loss 7.4375, time 174.33ms, ETA: 1d 10h, progress: 0.2%
iter 1040: loss 7.5312, time 170.75ms, ETA: 1d 10h, progress: 0.2%
iter 1050: loss 7.5625, time 179.35ms, ETA: 1d 9h, progress: 0.2%
iter 1060: loss 7.4688, time 177.67ms, ETA: 1d 9h, progress: 0.2%
iter 1070: loss 7.3125, time 175.44ms, ETA: 1d 9h, progress: 0.2%
iter 1080: loss 7.3125, time 171.71ms, ETA: 1d 9h, progress: 0.2%
iter 1090: loss 7.3125, time 176.55ms, ETA: 1d 9h, progress: 0.2%
iter 1100: loss 7.3438, time 177.68ms, ETA: 1d 9h, progress: 0.2%
