step 0: train loss 11.0003, val loss 11.0013
iter 0: loss 11.0000, time 57121.90ms
iter 10: loss 11.0000, time 312.80ms, ETA: 41d 19h, progress: 0.0%
iter 280: loss 9.3125, time 326.39ms, ETA: 3d 15h, progress: 0.0%
iter 290: loss 9.3125, time 301.36ms, ETA: 3d 14h, progress: 0.0%
iter 300: loss 9.3750, time 354.73ms, ETA: 3d 13h, progress: 0.1%
iter 310: loss 9.3125, time 292.51ms, ETA: 3d 12h, progress: 0.1%
iter 320: loss 9.1875, time 324.99ms, ETA: 3d 11h, progress: 0.1%
iter 330: loss 9.1250, time 336.83ms, ETA: 3d 10h, progress: 0.1%
iter 340: loss 9.0625, time 323.51ms, ETA: 3d 9h, progress: 0.1%
iter 350: loss 9.1250, time 335.65ms, ETA: 3d 9h, progress: 0.1%
iter 360: loss 9.7500, time 314.25ms, ETA: 3d 8h, progress: 0.1%
iter 370: loss 9.8125, time 319.33ms, ETA: 3d 7h, progress: 0.1%
iter 380: loss 9.8125, time 330.39ms, ETA: 3d 6h, progress: 0.1%
iter 390: loss 9.8125, time 321.88ms, ETA: 3d 6h, progress: 0.1%
[2025-08-28 08:59:36,244] [INFO] [logging.py:107:log_dist] [Rank 0] step=10, skipped=0, lr=[0.00011994002998500749], mom=[[0.9, 0.95]]
[2025-08-28 08:59:36,257] [INFO] [timer.py:264:stop] epoch=0/micro_step=400/global_step=10, RunningAvgSamplesPerSec=377.46861927284783, CurrSamplesPerSec=371.7015993122327, MemAllocated=0.41GB, MaxMemAllocated=7.36GB
iter 400: loss 8.8750, time 283.16ms, ETA: 3d 5h, progress: 0.1%
iter 410: loss 8.8750, time 320.75ms, ETA: 3d 5h, progress: 0.1%
iter 420: loss 8.8125, time 312.18ms, ETA: 3d 4h, progress: 0.1%
iter 430: loss 8.8750, time 328.47ms, ETA: 3d 3h, progress: 0.1%
iter 440: loss 8.8125, time 293.77ms, ETA: 3d 3h, progress: 0.1%
iter 450: loss 8.7500, time 324.98ms, ETA: 3d 2h, progress: 0.1%
iter 460: loss 8.7500, time 308.26ms, ETA: 3d 2h, progress: 0.1%
iter 470: loss 8.7500, time 311.90ms, ETA: 3d 1h, progress: 0.1%
iter 480: loss 8.5000, time 312.12ms, ETA: 3d 1h, progress: 0.1%
iter 490: loss 8.6250, time 354.82ms, ETA: 3d 1h, progress: 0.1%
iter 500: loss 8.5000, time 332.89ms, ETA: 3d 0h, progress: 0.1%
iter 510: loss 8.5000, time 339.59ms, ETA: 3d 0h, progress: 0.1%
iter 520: loss 8.4375, time 343.66ms, ETA: 3d 0h, progress: 0.1%
iter 530: loss 8.4375, time 329.57ms, ETA: 2d 23h, progress: 0.1%
iter 540: loss 8.4375, time 348.40ms, ETA: 2d 23h, progress: 0.1%
iter 550: loss 8.5000, time 309.67ms, ETA: 2d 23h, progress: 0.1%
iter 560: loss 8.3125, time 284.48ms, ETA: 2d 22h, progress: 0.1%
iter 570: loss 8.2500, time 320.72ms, ETA: 2d 22h, progress: 0.1%
iter 580: loss 8.3750, time 337.99ms, ETA: 2d 22h, progress: 0.1%
iter 590: loss 8.3750, time 352.32ms, ETA: 2d 22h, progress: 0.1%
iter 600: loss 8.1250, time 366.87ms, ETA: 2d 21h, progress: 0.1%
iter 610: loss 8.1250, time 317.96ms, ETA: 2d 21h, progress: 0.1%
iter 620: loss 8.2500, time 294.69ms, ETA: 2d 21h, progress: 0.1%
iter 630: loss 8.1250, time 298.13ms, ETA: 2d 20h, progress: 0.1%
iter 640: loss 8.0625, time 270.37ms, ETA: 2d 20h, progress: 0.1%
iter 650: loss 8.0625, time 335.70ms, ETA: 2d 20h, progress: 0.1%
iter 660: loss 8.1250, time 332.84ms, ETA: 2d 20h, progress: 0.1%
iter 670: loss 8.0625, time 317.08ms, ETA: 2d 20h, progress: 0.1%
iter 680: loss 7.9688, time 308.31ms, ETA: 2d 19h, progress: 0.1%
iter 690: loss 7.9688, time 293.90ms, ETA: 2d 19h, progress: 0.1%
iter 700: loss 7.9375, time 343.89ms, ETA: 2d 19h, progress: 0.1%
iter 710: loss 7.9062, time 312.32ms, ETA: 2d 19h, progress: 0.1%
iter 720: loss 7.8750, time 312.86ms, ETA: 2d 19h, progress: 0.1%
iter 730: loss 7.8125, time 366.58ms, ETA: 2d 18h, progress: 0.1%
iter 740: loss 7.8438, time 355.64ms, ETA: 2d 18h, progress: 0.1%
iter 750: loss 7.9375, time 315.55ms, ETA: 2d 18h, progress: 0.1%
iter 760: loss 7.6875, time 311.50ms, ETA: 2d 18h, progress: 0.1%
iter 770: loss 7.7188, time 320.51ms, ETA: 2d 18h, progress: 0.1%
iter 780: loss 7.6562, time 312.71ms, ETA: 2d 18h, progress: 0.1%
iter 790: loss 7.6562, time 335.93ms, ETA: 2d 17h, progress: 0.1%
[2025-08-28 09:01:46,020] [INFO] [logging.py:107:log_dist] [Rank 0] step=20, skipped=0, lr=[0.00023988005997001497], mom=[[0.9, 0.95]]
[2025-08-28 09:01:46,034] [INFO] [timer.py:264:stop] epoch=0/micro_step=800/global_step=20, RunningAvgSamplesPerSec=379.45284420993545, CurrSamplesPerSec=378.90720943437185, MemAllocated=0.41GB, MaxMemAllocated=7.36GB
iter 800: loss 7.7188, time 360.13ms, ETA: 2d 17h, progress: 0.1%
iter 810: loss 7.7812, time 314.14ms, ETA: 2d 17h, progress: 0.1%
iter 820: loss 7.5312, time 295.47ms, ETA: 2d 17h, progress: 0.1%
iter 830: loss 7.6250, time 334.07ms, ETA: 2d 17h, progress: 0.1%
iter 840: loss 7.5000, time 356.51ms, ETA: 2d 17h, progress: 0.1%
iter 850: loss 7.4375, time 331.42ms, ETA: 2d 17h, progress: 0.1%
iter 860: loss 7.4062, time 349.26ms, ETA: 2d 17h, progress: 0.1%
iter 870: loss 7.5625, time 287.40ms, ETA: 2d 16h, progress: 0.1%
iter 880: loss 7.5000, time 299.62ms, ETA: 2d 16h, progress: 0.1%
iter 890: loss 7.4688, time 344.42ms, ETA: 2d 16h, progress: 0.1%
iter 900: loss 7.4688, time 323.19ms, ETA: 2d 16h, progress: 0.1%
iter 910: loss 7.4375, time 301.69ms, ETA: 2d 16h, progress: 0.2%
iter 920: loss 7.2812, time 300.50ms, ETA: 2d 16h, progress: 0.2%
iter 930: loss 7.2812, time 318.91ms, ETA: 2d 16h, progress: 0.2%
iter 940: loss 7.3125, time 292.49ms, ETA: 2d 16h, progress: 0.2%
iter 950: loss 7.3438, time 324.41ms, ETA: 2d 15h, progress: 0.2%
iter 960: loss 7.3438, time 346.03ms, ETA: 2d 15h, progress: 0.2%
iter 970: loss 7.0625, time 346.69ms, ETA: 2d 15h, progress: 0.2%
iter 980: loss 7.3125, time 356.94ms, ETA: 2d 15h, progress: 0.2%
iter 990: loss 7.2500, time 338.41ms, ETA: 2d 15h, progress: 0.2%
step 1000: train loss 7.1600, val loss 7.1264 | ETA: 2d 19h (2025-08-31 04:38:29) | Progress: 0.2%
saving checkpoint to out
iter 1000: loss 7.1562, time 27045.85ms, ETA: 2d 19h, progress: 0.2%
iter 1010: loss 7.0938, time 326.63ms, ETA: 2d 19h, progress: 0.2%
